,open,high,low,close,volume
2022-04-21 05:00:00-04:00,344.83,345.31,344.65,344.81,0
2022-04-21 06:00:00-04:00,344.84,344.85,344.11,344.81,0
2022-04-21 07:00:00-04:00,344.83,345.47,344.46,345.44,0
2022-04-21 08:00:00-04:00,345.44,345.68,341.465,345.05,0
2022-04-21 09:00:00-04:00,345.04,345.55,341.21,345.18,0
2022-04-21 09:30:00-04:00,345.19000244140625,347.8399963378906,343.7699890136719,345.1499938964844,15846822
2022-04-21 10:30:00-04:00,345.1700134277344,345.6400146484375,342.5899963378906,342.92999267578125,8482279
2022-04-21 11:30:00-04:00,342.9200134277344,342.9700012207031,339.32000732421875,339.489990234375,8702838
2022-04-21 12:30:00-04:00,339.5,340.3299865722656,337.4800109863281,339.5,9425256
2022-04-21 13:30:00-04:00,339.510009765625,339.7900085449219,335.75,336.2919006347656,8656198
2022-04-21 14:30:00-04:00,336.2799987792969,337.44000244140625,333.8800048828125,335.25,11347545
2022-04-21 15:30:00-04:00,335.239990234375,335.32000732421875,333.20001220703125,334.17999267578125,10256046
2022-04-21 16:00:00-04:00,334.21,340.1554,332.9,334.14,0
2022-04-21 17:00:00-04:00,334.14,334.44,311.26636,334.02,0
2022-04-21 18:00:00-04:00,334.02,338.0501,333.52,334.03,0
2022-04-21 19:00:00-04:00,334.04,334.22,333.11,333.32,0
2022-04-22 04:00:00-04:00,335.0,335.0,333.36,334.26,0
2022-04-22 05:00:00-04:00,334.29,334.4,333.68,333.87,0
2022-04-22 06:00:00-04:00,334.01,334.05,332.6,332.87,0
2022-04-22 07:00:00-04:00,332.92,334.51,332.57,334.39,0
2022-04-22 08:00:00-04:00,334.4,335.65,332.6196,335.51,0
2022-04-22 09:00:00-04:00,335.51,335.63,333.23,334.3,0
2022-04-22 09:30:00-04:00,334.30999755859375,335.4543151855469,330.8299865722656,331.010009765625,21801801
2022-04-22 10:30:00-04:00,331.010009765625,333.010009765625,330.8699951171875,331.6549987792969,10755591
2022-04-22 11:30:00-04:00,331.6700134277344,332.0199890136719,328.4798889160156,329.1899108886719,8646645
